surface_marker,cell_type_1,cell_type_2,cell_type_3,cell_type_main_1,cell_type_main_2
CD45RB,CD4 Naive,Treg Naive,,CD4 Naive,Treg
GP130,CD4 Naive,Treg Naive,,CD4 Naive,Treg
CD45RA,CD4 Naive,Treg Naive,,CD4 Naive,Treg
CD25,Treg Naive,Treg Memory,,Treg,
TIGIT,Treg Naive,Treg Memory,,Treg,
CD307c/FcRL3,Treg Memory,,,Treg,
CD95,Treg Memory,,,Treg,
CD278,CD4 TCM_2,,,CD4 TCM,
CD38-1,CD4 TCM_2,,,CD4 TCM,
CD38-2,CD4 TCM_2,,,CD4 TCM,
CD44-2,CD4 TCM_3,,,CD4 TCM,
CD117,CD4 TCM_3,,,CD4 TCM,
CD29,CD4 TCM_3,,,CD4 TCM,
CD196,CD4 TCM_3,,,CD4 TCM,
CD44-1,CD4 TCM_3,,,CD4 TCM,
CD26-2,CD4 TCM_3,,,CD4 TCM,
CD102,CD4 TCM_3,,,CD4 TCM,
CD195,CD4 TEM_1,,,CD4 TEM,
CD2,CD4 TEM_1,,,CD4 TEM,
CD81,CD4 TEM_2,,,CD4 TEM,
CD279,CD4 TEM_2,,,CD4 TEM,
CD45RO,CD4 TEM_2,,,CD4 TEM,
CD18,CD4 TEM_2,,,CD4 TEM,
Integrin-7,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD161,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD127,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD73,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD96,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD49a,CD4 TEM_3,CD4 TEM_4,,CD4 TEM,
CD103,CD4 TEM_4,,,CD4 TEM,
CD45RA,CD8 Naive,,,CD8 Naive,
GP130,CD8 Naive,,,CD8 Naive,
CD38-2,CD8 Naive_2,,,CD8 Naive,
CD38-1,CD8 Naive_2,,,CD8 Naive,
CD278,CD8 Naive_2,,,CD8 Naive,
CD31,CD8 Naive_2,,,CD8 Naive,
CD26-2,CD8 TCM_1,CD8 TCM_2,,CD8 TCM,
CD49a,CD8 TCM_1,CD8 TCM_2,,CD8 TCM,
CD127,CD8 TCM_1,CD8 TCM_2,,CD8 TCM,
CD25,CD8 TCM_2,,,CD8 TCM,
CD275-2,CD8 TCM_2,,,CD8 TCM,
CD28,CD8 TCM_2,,,CD8 TCM,
CD102,CD8 TCM_2,,,CD8 TCM,
CD103,CD8 TCM_3,,,CD8 TCM,
Integrin-7,CD8 TCM_3,,,CD8 TCM,
CD96,CD8 TCM_3,,,CD8 TCM,
CD73,CD8 TCM_3,,,CD8 TCM,
CD196,CD8 TCM_3,,,CD8 TCM,
CD55,CD8 TCM_3,,,CD8 TCM,
CD195,CD8 TEM_3,,,CD8 TEM,
CD44-2,CD8 TEM_3,,,CD8 TEM,
CD44-1,CD8 TEM_3,,,CD8 TEM,
CD56-2,CD8 TEM_3,,,CD8 TEM,
CD29,CD8 TEM_3,,,CD8 TEM,
CD2,CD8 TEM_3,,,CD8 TEM,
CD81,CD8 TEM_1,CD8 TEM_2,,CD8 TEM,
CD279,CD8 TEM_1,CD8 TEM_2,,CD8 TEM,
CD45RO,CD8 TEM_1,CD8 TEM_2,,CD8 TEM,
TIGIT,CD8 TEM_1,CD8 TEM_2,,CD8 TEM,
CD226,CD8 TEM_4,,,CD8 TEM,
CD271,CD8 TEM_4,,,CD8 TEM,
CD56-1,CD8 TEM_5,,,CD8 TEM,
CD305,CD8 TEM_6,,,CD8 TEM,
CD11b-2,CD8 TEM_6,,,CD8 TEM,
CD8a,MAIT,,,MAIT,
CD26-2,MAIT,,,MAIT,
CD8,MAIT,,,MAIT,
TCR-V-7.2,MAIT,,,MAIT,
CD161,MAIT,,,MAIT,
CD195,MAIT,,,MAIT,
CD127,MAIT,,,MAIT,
TCR-V-2,gdT_1,gdT_2,,gdT,
CD3-1,gdT_1,gdT_2,,gdT,
CD3-2,gdT_1,gdT_2,,gdT,
TCR-V-9,gdT_1,gdT_2,,gdT,
CD56-2,gdT_1,gdT_2,,gdT,
CD27,gdT_3,,,gdT,
CD73,gdT_3,,,gdT,
CD35,gdT_3,,,gdT,
CD21,gdT_3,,,gdT,
CD45RA,gdT_3,dnT_1,,gdT,dnT
CD38-1,dnT_2,,,dnT,
CD38-2,dnT_2,,,dnT,
CD28,dnT_2,,,dnT,
CD226,ASDC_mDC,ASDC_pDC,,ASDC,
CD72,ASDC_mDC,ASDC_pDC,,ASDC,
CD4-1,ASDC_pDC,pDC,,ASDC,pDC
CD305,ASDC_pDC,pDC,,ASDC,pDC
CD123,ASDC_pDC,pDC,,ASDC,pDC
CD304,ASDC_pDC,pDC,,ASDC,pDC
Integrin-7,cDC2_1,,,cDC,
CD1c,cDC2_1,,,cDC,
CD64,cDC2_1,,,cDC,
Folate,cDC2_1,,,cDC,
CD163,cDC2_1,,,cDC,
CD271,ASDC_mDC,ASDC_pDC,pDC,ASDC,pDC
CD195,ASDC_mDC,ASDC_pDC,pDC,ASDC,pDC
CD16,CD16 Mono,,,CD16 Mono,
CD35,CD14 Mono,,,CD14 Mono,
CD11b-2,CD14 Mono,,,CD14 Mono,
CD11b-1,CD14 Mono,,,CD14 Mono,
IgD,B naive,,,B naive,
CD72,B naive,,,B naive,
CD305,B naive,,,B naive,
CD226,B naive,,,B naive,
CD275-2,B naive,,,B naive,
IgM,B intermediate,,,B intermediate,
CD1c,B intermediate,,,B intermediate,
CD25,B intermediate,,,B intermediate,
CD45RB,B intermediate,,,B intermediate,
CD24,B intermediate,,,B intermediate,
CD73,B memory,,,B memory,
CD35,B memory,,,B memory,
CD38-1,Plasma,Plasmablast,,Plasma,Plasmablast
CD38-2,Plasma,Plasmablast,,Plasma,Plasmablast
CD27,Plasma,Plasmablast,,Plasma,Plasmablast
CD71,Plasma,Plasmablast,,Plasma,Plasmablast
CD25,ILC,,,ILC,
CD45RB,ILC,,,ILC,
CLEC2,Platelet,,,Platelet,
CD41,Platelet,,,Platelet,
CD42b,Platelet,,,Platelet,
CD9,Platelet,,,Platelet,
CD49b,Platelet,,,Platelet,
CD226,Platelet,,,Platelet,
CD62P,Platelet,,,Platelet,
GP130,Platelet,,,Platelet,
CD61,Platelet,,,Platelet,
CD110,Platelet,,,Platelet,
CD29,Platelet,,,Platelet,
CD69,Platelet,,,Platelet,
CD102,Platelet,,,Platelet,
CD31,Platelet,,,Platelet,
CD57,NK,,,NK,
CD16,NK,,,NK,
CD38-1,NK,,,NK,
CD38-2,NK,,,NK,
CD44-1,NK_CD56bright,,,NK_CD56bright,
CD44-2,NK_CD56bright,,,NK_CD56bright,
CD335,NK_CD56bright,,,NK_CD56bright,
CD122,NK_CD56bright,,,NK_CD56bright,
CD337,NK_CD56bright,,,NK_CD56bright,
CD117,NK_CD56bright,,,NK_CD56bright,
CD56-2,NK_CD56bright,,,NK_CD56bright,
CD56-1,NK_CD56bright,,,NK_CD56bright,